+-------------------+------+-------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|dateTime           |profit|macdHistogram|close                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                |macdHistogramArray                                                                                                                                                                                                                                                                                                                   |
+-------------------+------+-------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+
|2016-01-04 02:10:00|54    |32           |[1.08632, 1.08604, 1.08617, 1.0866, 1.08638, 1.08666, 1.08667, 1.08701, 1.08669, 1.08714, 1.08716, 1.08706, 1.08685, 1.08692, 1.08694, 1.08689]                                                                                                                                                                                                                                                                                                                                                                                                                                                      |[36, 32, 29, 28, 25, 23, 21, 20, 16, 16, 14, 12, 8, 5, 2, 0]                                                                                                                                                                                                                                                                         |
|2016-01-04 05:30:00|6     |12           |[1.08945, 1.08958, 1.08986, 1.09008, 1.09004, 1.08972, 1.08932, 1.08934, 1.08979, 1.08994, 1.08966]                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  |[6, 12, 16, 19, 19, 15, 9, 4, 4, 3, 0]                                                                                                                                                                                                                                                                                               |
|2016-01-04 06:25:00|72    |-7           |[1.08946, 1.08936, 1.08926, 1.08916, 1.08887, 1.08858, 1.0889, 1.08904, 1.08852, 1.08928, 1.08878, 1.08883, 1.08906, 1.08941, 1.08906]                                                                                                                                                                                                                                                                                                                                                                                                                                                               |[-3, -7, -9, -12, -15, -19, -19, -17, -19, -14, -14, -13, -11, -7, -6]                                                                                                                                                                                                                                                               |
|2016-01-04 07:40:00|153   |16           |[1.09008, 1.09176, 1.09173, 1.09127, 1.09183, 1.09286, 1.09258, 1.0938, 1.09382, 1.09412, 1.09295, 1.09285, 1.09238, 1.09266, 1.0931]                                                                                                                                                                                                                                                                                                                                                                                                                                                                |[1, 16, 24, 24, 27, 33, 33, 39, 40, 39, 29, 19, 8, 2, 0]                                                                                                                                                                                                                                                                             |
|2016-01-04 08:55:00|87    |-13          |[1.09244, 1.09214, 1.09272, 1.0923, 1.0919, 1.09191, 1.09184, 1.0918, 1.09142, 1.09208, 1.09253, 1.09241, 1.09292, 1.09319, 1.09274, 1.09284, 1.09229, 1.09192, 1.09174, 1.0917, 1.09176, 1.09146, 1.09105, 1.09096, 1.09058, 1.09002, 1.09021, 1.09056, 1.09059, 1.09084, 1.09094, 1.09078, 1.0913]                                                                                                                                                                                                                                                                                                 |[-7, -13, -14, -17, -22, -24, -25, -26, -28, -24, -18, -14, -8, -3, -3, -2, -5, -10, -14, -16, -16, -18, -21, -22, -24, -28, -28, -24, -20, -14, -9, -6, -1]                                                                                                                                                                         |
|2016-01-04 12:30:00|51    |-8           |[1.09084, 1.09017, 1.08985, 1.08998, 1.0904, 1.09066, 1.08962, 1.09004, 1.08959, 1.08931, 1.08896, 1.08828, 1.08629, 1.0857, 1.08588, 1.08543, 1.0858, 1.08548, 1.08544, 1.0854, 1.08623, 1.08576, 1.0857, 1.08507]                                                                                                                                                                                                                                                                                                                                                                                  |[-2, -8, -13, -15, -12, -8, -12, -10, -12, -13, -16, -20, -34, -45, -47, -49, -44, -39, -34, -28, -16, -10, -5, -4]                                                                                                                                                                                                                  |
|2016-01-04 16:35:00|99    |8            |[1.07919, 1.0796, 1.07899, 1.07954, 1.08034, 1.0801, 1.08037, 1.0804, 1.08108, 1.08146, 1.08142, 1.08173, 1.08143, 1.08118, 1.0815, 1.08179, 1.0818, 1.08154, 1.08144, 1.08184, 1.08192, 1.0818, 1.0816, 1.08194, 1.08214, 1.08228, 1.0822, 1.08217, 1.08222, 1.08203, 1.08232, 1.08222, 1.08192]                                                                                                                                                                                                                                                                                                    |[0, 8, 11, 17, 26, 31, 35, 37, 42, 47, 48, 49, 46, 41, 38, 36, 34, 29, 25, 23, 21, 19, 15, 14, 14, 14, 12, 11, 9, 6, 6, 5, 1]                                                                                                                                                                                                        |
|2016-01-05 01:40:00|65    |-6           |[1.08289, 1.08242, 1.08272, 1.08244, 1.08281, 1.08268, 1.0827, 1.08251, 1.08248, 1.0824, 1.08208, 1.0821, 1.08174, 1.08166, 1.08177, 1.08168, 1.0819, 1.0817, 1.08162, 1.08153, 1.08163, 1.08191]                                                                                                                                                                                                                                                                                                                                                                                                    |[-2, -6, -7, -9, -7, -7, -6, -6, -6, -7, -9, -9, -11, -12, -11, -11, -8, -7, -7, -6, -5, -2]                                                                                                                                                                                                                                         |
|2016-01-05 06:30:00|128   |-7           |[1.08271, 1.08261, 1.08279, 1.08304, 1.08297, 1.0828, 1.08279, 1.08235, 1.08128, 1.08131, 1.0811, 1.08062, 1.08068, 1.0808, 1.08118, 1.08078, 1.08111, 1.08088, 1.0817]                                                                                                                                                                                                                                                                                                                                                                                                                              |[-4, -7, -8, -7, -7, -7, -7, -10, -18, -22, -25, -28, -28, -26, -21, -18, -14, -11, -3]                                                                                                                                                                                                                                              |
